engine,symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,gross_pnl,brokerage,stt,exchange_txn,sebi_fee,stamp_duty,gst,dp_charge,statutory_cost,slippage,net_pnl,bars_held
ROTATION,ONGC,2017-01-31,2017-04-28,202.5500030517578,186.5500030517578,372,REBALANCE_EXIT,-5952.0,0.0,144.7452022705078,4.298932507434082,0.1447452022705078,11.302290170288085,0.7998619877468262,15.93,177.22103213824732,72.3726011352539,-6201.593633273501,87
ROTATION,BPCL,2017-01-31,2017-04-28,227.21665954589844,239.75,266,REBALANCE_EXIT,3333.8685607910156,0.0,124.21313143920898,3.6891300037445065,0.12421313143920898,9.065944715881347,0.6864017643330688,15.93,153.7088210546071,62.10656571960449,3118.053174016804,87
ROTATION,POWERGRID,2017-01-31,2017-05-31,116.5500259399414,116.9719009399414,550,REBALANCE_EXIT,232.03125,0.0,128.43705978393555,3.814580675582886,0.12843705978393555,9.615377140045165,0.7097431923660278,15.93,158.6351978517136,64.21852989196778,9.177522256318625,120
ROTATION,YESBANK,2017-01-31,2017-06-30,279.20001220703125,292.70001220703125,164,REBALANCE_EXIT,2214.0,0.0,93.79160400390626,2.7856106389160153,0.09379160400390624,6.868320300292968,0.5182924037255859,15.93,119.98761895084473,46.89580200195313,2047.1165790472023,150
ROTATION,VEDL,2017-01-31,2017-07-31,253.10000610351562,279.8500061035156,148,REBALANCE_EXIT,3959.0,0.0,78.87660180664062,2.3426350736572266,0.07887660180664062,5.618820135498046,0.4358721015834961,15.93,103.28280571918604,39.43830090332031,3816.2788933774937,181
ROTATION,HINDALCO,2017-01-31,2017-07-31,189.9499969482422,219.64999389648438,186,REBALANCE_EXIT,5524.199432373047,0.0,76.18559829711914,2.2627122694244384,0.07618559829711914,5.299604914855957,0.4210016161898803,15.93,100.17510269588652,38.09279914855957,5385.931530528601,181
ROTATION,GAIL,2017-05-31,2017-07-31,103.5000228881836,94.1875228881836,552,REBALANCE_EXIT,-5140.5,0.0,109.12352526855469,3.240968700476074,0.10912352526855468,8.5698018951416,0.6030166006340332,15.93,137.57643599007497,54.56176263427734,-5332.638198624352,61
ROTATION,IOC,2017-01-31,2017-08-31,122.13333129882812,151.56666564941406,380,REBALANCE_EXIT,11184.667053222656,0.0,104.00599884033204,3.0889781655578616,0.10400599884033203,6.961599884033203,0.5747371495916748,15.93,130.6653200383551,52.00299942016602,11001.998733764134,212
ROTATION,FEDERALBNK,2017-04-28,2017-09-29,107.5999984741211,112.6500015258789,307,REBALANCE_EXIT,1550.3509368896484,0.0,67.61675,2.0082174750000004,0.06761675,4.954979929733276,0.3736501605,15.93,90.95121431523327,33.808375,1425.591347574415,154
ROTATION,ASTRAL,2017-07-31,2017-09-29,281.1150817871094,332.4375915527344,119,REBALANCE_EXIT,6107.378662109375,0.0,73.0127681274414,2.1684792133850097,0.0730127681274414,5.017904209899902,0.40346855667224124,15.93,96.605632875526,36.5063840637207,5974.266645170129,60
ROTATION,HINDUNILVR,2017-07-31,2017-09-29,1155.75,1173.9000244140625,53,REBALANCE_EXIT,961.9512939453125,0.0,123.47145129394531,3.667102103430176,0.12347145129394531,9.188212499999999,0.6823032398503418,15.93,153.06254058851977,61.735725646972654,747.15302770982,60
ROTATION,RELIANCE,2017-08-31,2017-09-29,364.47589111328125,357.001220703125,135,REBALANCE_EXIT,-1009.0805053710938,0.0,97.39941009521485,2.892762479827881,0.09739941009521483,7.380636795043944,0.5382291401861572,15.93,124.23843792036804,48.699705047607424,-1182.0186483390694,29
ROTATION,INDUSINDBK,2017-06-30,2018-01-31,1478.949951171875,1753.0999755859375,48,REBALANCE_EXIT,13159.201171875,0.0,155.138396484375,4.607610375585938,0.155138396484375,10.648439648437499,0.8572947789726562,15.93,187.33687968385547,77.5691982421875,12894.295093948958,215
ROTATION,TATASTEEL,2017-10-31,2018-02-28,67.05360412597656,67.16000366210938,809,REBALANCE_EXIT,86.07722473144531,0.0,108.57880870056152,3.2247906184066775,0.10857880870056152,8.136954860687256,0.6000064968793029,15.93,136.57913948523532,54.28940435028076,-104.79131910407077,120
ROTATION,ASTRAL,2017-10-31,2018-02-28,342.76507568359375,407.9476013183594,190,REBALANCE_EXIT,12384.679870605469,0.0,142.6354086303711,4.236271636322021,0.1426354086303711,9.768804656982422,0.7882032680914306,15.93,173.5013236003973,71.31770431518555,12139.860842689885,120
ROTATION,BAJFINANCE,2017-10-31,2018-02-28,180.05999755859375,164.02499389648438,219,REBALANCE_EXIT,-3511.665802001953,0.0,75.35461312866211,2.2380320099212647,0.0753546131286621,5.914970919799805,0.41640959214898676,15.93,99.92938026366082,37.677306564331055,-3649.272488829945,120
ROTATION,GODREJPROP,2017-10-31,2018-02-28,679.2999877929688,780.2000122070312,7,REBALANCE_EXIT,706.3001708984375,0.0,10.2165,0.30343005,0.0102165,0.7132649871826171,0.056456379,15.93,27.229867916182616,5.10825,673.9620529822549,120
ROTATION,SOLARINDS,2018-01-31,2018-02-28,1069.1500244140625,1026.949951171875,70,REBALANCE_EXIT,-2954.005126953125,0.0,146.72699829101563,4.357791849243164,0.14672699829101563,11.226075256347656,0.8108133925561523,15.93,179.19840578745362,73.36349914550782,-3206.5670318860866,28
ROTATION,BALKRISIND,2017-01-31,2018-03-28,560.9000244140625,1068.6500244140625,52,REBALANCE_EXIT,26403.0,0.0,84.7366025390625,2.5166770954101563,0.0847366025390625,4.375020190429687,0.4682544656308594,15.93,108.11129089307227,42.36830126953125,26252.520407837394,421
ROTATION,MARUTI,2017-01-31,2018-03-28,5894.25,8861.099609375,9,REBALANCE_EXIT,26701.646484375,0.0,132.798146484375,3.9441049505859374,0.132798146484375,7.9572375,0.7338425574726561,15.93,161.49612963891798,66.3990732421875,26473.751281493893,421
ROTATION,TVSMOTOR,2017-01-31,2018-03-28,386.20001220703125,619.2999877929688,128,REBALANCE_EXIT,29836.796875,0.0,128.704,3.8225088,0.12870399999999999,7.415040234375,0.711218304,15.93,156.711471338375,64.352,29615.733403661627,421
ROTATION,HDFCBANK,2017-04-28,2018-03-28,386.625,471.5249938964844,212,REBALANCE_EXIT,17998.798706054688,0.0,181.9277987060547,5.403255621569825,0.1819277987060547,12.294675,1.005333015649658,15.93,216.74299014198021,90.96389935302734,17691.091816559678,334
ROTATION,HINDUNILVR,2017-10-31,2018-03-28,1237.449951171875,1333.3499755859375,58,REBALANCE_EXIT,5562.201416015625,0.0,149.10639575195313,4.428459953833007,0.1491063957519531,10.76581457519531,0.8239619429252929,15.93,181.20373861965868,74.55319787597657,5306.44447951999,148
ROTATION,MARUTI,2018-04-30,2018-05-31,8814.9501953125,8537.2001953125,9,REBALANCE_EXIT,-2499.75,0.0,156.169353515625,4.638229799414063,0.156169353515625,11.900182763671873,0.8629918475273437,15.93,189.65692727975392,78.0846767578125,-2767.491604037566,31
ROTATION,ASHOKLEY,2018-04-30,2018-06-29,82.2249984741211,62.900001525878906,790,REBALANCE_EXIT,-15266.747589111328,0.0,114.64875,3.4050678750000003,0.11464875,9.743662319183349,0.6335489925,15.93,144.47567793668335,57.324375,-15468.547642048012,60
ROTATION,DEEPAKNTR,2018-04-30,2018-07-31,269.20001220703125,241.64999389648438,170,REBALANCE_EXIT,-4683.503112792969,0.0,86.84450103759767,2.5792816808166505,0.08684450103759767,6.864600311279296,0.4799027127337646,15.93,112.78513024346496,43.42225051879883,-4839.7104935552325,92
ROTATION,CHOLAFIN,2018-04-30,2018-08-31,348.2900085449219,295.2300109863281,171,REBALANCE_EXIT,-9073.259582519531,0.0,110.04192333984375,3.26824512319336,0.11004192333984375,8.933638719177246,0.6080916683759765,15.93,138.89194077393017,55.020961669921874,-9267.172484963383,123
ROTATION,TITAN,2018-04-30,2018-09-28,981.7999877929688,805.5999755859375,72,REBALANCE_EXIT,-12686.40087890625,0.0,128.69279736328124,3.822176081689453,0.12869279736328126,10.603439868164061,0.7111563982294922,15.93,159.88826250872756,64.34639868164062,-12910.635540096619,151
ROTATION,KOTAKBANK,2018-06-29,2018-09-28,268.5899963378906,228.32000732421875,348,REBALANCE_EXIT,-14013.956176757812,0.0,172.92468127441407,5.135863033850098,0.17292468127441407,14.02039780883789,0.9555817887224121,15.93,209.13944858709885,86.46234063720703,-14309.557965982118,91
